user_id,job_id,viewed,applied,saved,date,relevance_score
user_0,job_1609,True,False,False,2025-04-12,1.04
user_0,job_842,True,True,False,2025-04-19,0.9999999999999999
user_0,job_1964,True,False,False,2025-03-30,0.9999999999999999
user_1,job_1543,True,False,False,2025-03-25,1.2000000000000002
user_1,job_1686,True,False,False,2025-04-15,0.9
user_2,job_654,True,True,False,2025-04-18,0.84
user_2,job_1698,True,True,False,2025-04-20,0.8
user_3,job_434,True,False,False,2025-04-09,1.2000000000000002
user_3,job_729,True,False,False,2025-04-21,1.08
user_4,job_129,True,True,False,2025-04-08,1.2000000000000002
user_4,job_250,True,True,True,2025-03-27,1.05
user_4,job_1062,True,True,False,2025-04-18,1.04
user_4,job_271,True,True,False,2025-04-19,0.9999999999999999
user_5,job_138,True,False,True,2025-04-14,1.4000000000000001
user_5,job_1261,True,False,True,2025-04-07,1.05
user_5,job_38,True,True,False,2025-04-15,0.9999999999999999
user_6,job_478,True,False,True,2025-04-07,1.2000000000000002
user_6,job_828,True,False,False,2025-04-10,1.2000000000000002
user_6,job_1689,True,False,False,2025-04-21,1.2000000000000002
user_7,job_267,True,False,False,2025-04-17,1.1
user_7,job_1860,True,True,False,2025-04-04,1.05
user_7,job_94,True,True,True,2025-04-22,1.0
user_8,job_550,True,False,False,2025-04-16,0.9
user_8,job_690,True,False,False,2025-04-05,0.9
user_9,job_1923,True,True,False,2025-04-02,0.9999999999999999
user_9,job_596,True,True,True,2025-03-30,0.9
user_11,job_591,True,True,True,2025-03-26,0.9999999999999999
user_11,job_1986,True,True,True,2025-04-01,0.9999999999999999
user_15,job_398,True,False,False,2025-04-10,1.2000000000000002
user_15,job_466,True,True,True,2025-04-09,1.05
user_15,job_1148,True,True,False,2025-03-28,1.05
user_16,job_639,True,True,False,2025-04-21,1.2000000000000002
user_16,job_1294,True,True,True,2025-03-27,1.2000000000000002
user_16,job_1809,True,False,False,2025-04-06,1.2000000000000002
user_16,job_1058,True,False,False,2025-04-02,1.16
user_17,job_203,True,False,False,2025-04-09,1.2000000000000002
user_18,job_665,True,False,True,2025-04-08,1.1
user_19,job_881,True,True,True,2025-04-24,0.9999999999999999
user_19,job_1501,True,False,False,2025-03-26,0.9999999999999999
user_19,job_1628,True,True,False,2025-04-05,0.9714285714285713
user_19,job_1575,True,False,False,2025-04-01,0.96
user_20,job_910,True,False,True,2025-04-06,1.2000000000000002
user_21,job_422,True,False,False,2025-04-19,1.2000000000000002
user_21,job_628,True,True,False,2025-04-02,1.2000000000000002
user_21,job_1797,True,False,False,2025-04-03,1.2000000000000002
user_24,job_1321,True,True,False,2025-04-11,0.96
user_25,job_571,True,True,False,2025-04-05,1.2000000000000002
user_25,job_1696,True,False,False,2025-04-14,0.9999999999999999
user_25,job_1291,True,True,True,2025-03-25,0.96
user_25,job_139,True,True,False,2025-04-17,0.9
user_26,job_1357,True,False,False,2025-03-27,0.9999999999999999
user_26,job_213,True,False,True,2025-04-18,0.9
user_27,job_1421,True,False,False,2025-04-04,1.2
user_27,job_110,True,False,False,2025-03-31,0.9999999999999999
user_27,job_1144,True,False,True,2025-04-15,0.9999999999999999
user_28,job_660,True,True,False,2025-04-10,1.2000000000000002
user_28,job_911,True,False,False,2025-04-19,1.05
user_29,job_255,True,False,False,2025-04-16,0.7999999999999999
user_30,job_417,True,False,False,2025-04-03,0.96
user_30,job_317,True,True,True,2025-04-06,0.9
user_30,job_489,True,False,False,2025-03-29,0.9
user_30,job_693,True,True,False,2025-04-20,0.9
user_30,job_961,True,True,False,2025-04-19,0.9
user_31,job_1101,True,False,True,2025-03-27,1.2000000000000002
user_31,job_554,True,False,False,2025-04-16,1.05
user_32,job_31,True,True,True,2025-04-07,0.9
user_32,job_331,True,True,False,2025-03-25,0.9
user_33,job_1219,True,True,False,2025-03-26,1.2000000000000002
user_33,job_1493,True,True,True,2025-04-07,1.2000000000000002
user_33,job_80,True,False,True,2025-04-19,0.9999999999999999
user_34,job_861,True,False,False,2025-04-09,1.2000000000000002
